3,5.35978,5.94362,-19.1961,3.1477,-2.48425,0.228112,-0.713306,0.00264512,0.13258
4,4.98154,5.65689,-19.2898,3.15797,-2.4706,0.17359,-0.713303,0.00365463,0.132579
5,4.59084,5.3613,-19.4136,3.1709,-2.45843,0.118048,-0.713299,0.00465095,0.13258
6,4.21687,5.05725,-19.5071,3.17569,-2.44388,0.0688792,-0.713292,0.00563841,0.132579
7,3.73533,4.68623,-19.6645,3.19234,-2.42999,0.00116152,-0.713291,0.00666552,0.132575
8,3.28855,4.30611,-19.7854,3.201,-2.41506,-0.058262,-0.71329,0.00766711,0.132579
9,2.8404,3.91867,-19.9116,3.21001,-2.40062,-0.11718,-0.71329,0.00864899,0.132578
10,2.33933,3.50438,-20.0528,3.2204,-2.38388,-0.182985,-0.713292,0.00965058,0.132578
9,2.8404,3.91867,-19.9116,3.21001,-2.40062,-0.11718,-0.71329,0.00864899,0.132578
8,3.28855,4.30611,-19.7854,3.201,-2.41506,-0.058262,-0.71329,0.00766711,0.132579
7,3.73533,4.68623,-19.6645,3.19234,-2.42999,0.00116152,-0.713291,0.00666552,0.132575
6,4.21687,5.05725,-19.5071,3.17569,-2.44388,0.0688792,-0.713292,0.00563841,0.132579
5,4.59084,5.3613,-19.4136,3.1709,-2.45843,0.118048,-0.713299,0.00465095,0.13258
4,4.98154,5.65689,-19.2898,3.15797,-2.4706,0.17359,-0.713303,0.00365463,0.132579
3,5.35978,5.94362,-19.1961,3.1477,-2.48425,0.228112,-0.713306,0.00264512,0.13258
2,5.76427,6.22016,-19.0621,3.12931,-2.49594,0.288888,-0.713309,0.00162881,0.13258
1,6.18406,6.50097,-18.8939,3.10396,-2.50542,0.354154,-0.713307,0.000621636,0.132577
0,6.59819,6.77911,-18.7282,3.07899,-2.5145,0.418765,-0.713292,-0.000330124,0.132557
1,6.18406,6.50097,-18.8939,3.10396,-2.50542,0.354154,-0.713307,0.000621636,0.132577
2,5.76427,6.22016,-19.0621,3.12931,-2.49594,0.288888,-0.713309,0.00162881,0.13258
3,5.35978,5.94362,-19.1961,3.1477,-2.48425,0.228112,-0.713306,0.00264512,0.13258
4,4.98154,5.65689,-19.2898,3.15797,-2.4706,0.17359,-0.713303,0.00365463,0.132579
5,4.59084,5.3613,-19.4136,3.1709,-2.45843,0.118048,-0.713299,0.00465095,0.13258
6,4.21687,5.05725,-19.5071,3.17569,-2.44388,0.0688792,-0.713292,0.00563841,0.132579
7,3.73533,4.68623,-19.6645,3.19234,-2.42999,0.00116152,-0.713291,0.00666552,0.132575
8,3.28855,4.30611,-19.7854,3.201,-2.41506,-0.058262,-0.71329,0.00766711,0.132579
9,2.8404,3.91867,-19.9116,3.21001,-2.40062,-0.11718,-0.71329,0.00864899,0.132578
10,2.33933,3.50438,-20.0528,3.2204,-2.38388,-0.182985,-0.713292,0.00965058,0.132578
9,2.8404,3.91867,-19.9116,3.21001,-2.40062,-0.11718,-0.71329,0.00864899,0.132578
8,3.28855,4.30611,-19.7854,3.201,-2.41506,-0.058262,-0.71329,0.00766711,0.132579
7,3.73533,4.68623,-19.6645,3.19234,-2.42999,0.00116152,-0.713291,0.00666552,0.132575
6,4.21687,5.05725,-19.5071,3.17569,-2.44388,0.0688792,-0.713292,0.00563841,0.132579
5,4.59084,5.3613,-19.4136,3.1709,-2.45843,0.118048,-0.713299,0.00465095,0.13258
4,4.98154,5.65689,-19.2898,3.15797,-2.4706,0.17359,-0.713303,0.00365463,0.132579
3,5.35978,5.94362,-19.1961,3.1477,-2.48425,0.228112,-0.713306,0.00264512,0.13258
2,5.76427,6.22016,-19.0621,3.12931,-2.49594,0.288888,-0.713309,0.00162881,0.13258
1,6.18406,6.50097,-18.8939,3.10396,-2.50542,0.354154,-0.713307,0.000621636,0.132577
0,6.59819,6.77911,-18.7282,3.07899,-2.5145,0.418765,-0.713292,-0.000330124,0.132557
1,6.18406,6.50097,-18.8939,3.10396,-2.50542,0.354154,-0.713307,0.000621636,0.132577
2,5.76427,6.22016,-19.0621,3.12931,-2.49594,0.288888,-0.713309,0.00162881,0.13258
3,5.35978,5.94362,-19.1961,3.1477,-2.48425,0.228112,-0.713306,0.00264512,0.13258
4,4.98154,5.65689,-19.2898,3.15797,-2.4706,0.17359,-0.713303,0.00365463,0.132579
5,4.59084,5.3613,-19.4136,3.1709,-2.45843,0.118048,-0.713299,0.00465095,0.13258
6,4.21687,5.05725,-19.5071,3.17569,-2.44388,0.0688792,-0.713292,0.00563841,0.132579
7,3.73533,4.68623,-19.6645,3.19234,-2.42999,0.00116152,-0.713291,0.00666552,0.132575
8,3.28855,4.30611,-19.7854,3.201,-2.41506,-0.058262,-0.71329,0.00766711,0.132579
9,2.8404,3.91867,-19.9116,3.21001,-2.40062,-0.11718,-0.71329,0.00864899,0.132578
10,2.33933,3.50438,-20.0528,3.2204,-2.38388,-0.182985,-0.713292,0.00965058,0.132578
9,2.8404,3.91867,-19.9116,3.21001,-2.40062,-0.11718,-0.71329,0.00864899,0.132578
8,3.28855,4.30611,-19.7854,3.201,-2.41506,-0.058262,-0.71329,0.00766711,0.132579
7,3.73533,4.68623,-19.6645,3.19234,-2.42999,0.00116152,-0.713291,0.00666552,0.132575
6,4.21687,5.05725,-19.5071,3.17569,-2.44388,0.0688792,-0.713292,0.00563841,0.132579
5,4.59084,5.3613,-19.4136,3.1709,-2.45843,0.118048,-0.713299,0.00465095,0.13258
4,4.98154,5.65689,-19.2898,3.15797,-2.4706,0.17359,-0.713303,0.00365463,0.132579
3,5.35978,5.94362,-19.1961,3.1477,-2.48425,0.228112,-0.713306,0.00264512,0.13258
2,5.76427,6.22016,-19.0621,3.12931,-2.49594,0.288888,-0.713309,0.00162881,0.13258
1,6.18406,6.50097,-18.8939,3.10396,-2.50542,0.354154,-0.713307,0.000621636,0.132577
0,6.59819,6.77911,-18.7282,3.07899,-2.5145,0.418765,-0.713292,-0.000330124,0.132557
1,6.18406,6.50097,-18.8939,3.10396,-2.50542,0.354154,-0.713307,0.000621636,0.132577
2,5.76427,6.22016,-19.0621,3.12931,-2.49594,0.288888,-0.713309,0.00162881,0.13258
3,5.35978,5.94362,-19.1961,3.1477,-2.48425,0.228112,-0.713306,0.00264512,0.13258
4,4.98154,5.65689,-19.2898,3.15797,-2.4706,0.17359,-0.713303,0.00365463,0.132579
5,4.59084,5.3613,-19.4136,3.1709,-2.45843,0.118048,-0.713299,0.00465095,0.13258
6,4.21687,5.05725,-19.5071,3.17569,-2.44388,0.0688792,-0.713292,0.00563841,0.132579
7,3.73533,4.68623,-19.6645,3.19234,-2.42999,0.00116152,-0.713291,0.00666552,0.132575
8,3.28855,4.30611,-19.7854,3.201,-2.41506,-0.058262,-0.71329,0.00766711,0.132579
9,2.8404,3.91867,-19.9116,3.21001,-2.40062,-0.11718,-0.71329,0.00864899,0.132578
10,2.33933,3.50438,-20.0528,3.2204,-2.38388,-0.182985,-0.713292,0.00965058,0.132578
9,2.8404,3.91867,-19.9116,3.21001,-2.40062,-0.11718,-0.71329,0.00864899,0.132578
8,3.28855,4.30611,-19.7854,3.201,-2.41506,-0.058262,-0.71329,0.00766711,0.132579
7,3.73533,4.68623,-19.6645,3.19234,-2.42999,0.00116152,-0.713291,0.00666552,0.132575
6,4.21687,5.05725,-19.5071,3.17569,-2.44388,0.0688792,-0.713292,0.00563841,0.132579
5,4.59084,5.3613,-19.4136,3.1709,-2.45843,0.118048,-0.713299,0.00465095,0.13258
4,4.98154,5.65689,-19.2898,3.15797,-2.4706,0.17359,-0.713303,0.00365463,0.132579
3,5.35978,5.94362,-19.1961,3.1477,-2.48425,0.228112,-0.713306,0.00264512,0.13258
2,5.76427,6.22016,-19.0621,3.12931,-2.49594,0.288888,-0.713309,0.00162881,0.13258
1,6.18406,6.50097,-18.8939,3.10396,-2.50542,0.354154,-0.713307,0.000621636,0.132577
0,6.59819,6.77911,-18.7282,3.07899,-2.5145,0.418765,-0.713292,-0.000330124,0.132557
